Year;proportion_of_individuals_perched;perching_probability_x_1000
134.0;98.0;11.38
135.0;96.8;11.45
136.0;97.6;11.52
137.0;97.8;11.59
138.0;96.6;11.66
139.0;97.6;11.73
140.0;97.2;11.8
141.0;97.8;11.87
142.0;97.4;11.94
143.0;97.4;12.01
144.0;97.0;12.08
145.0;96.2;12.15
146.0;95.0;12.22
147.0;96.0;12.29
148.0;97.4;12.36
149.0;97.4;12.43
150.0;97.0;12.5
151.0;95.8;12.57
152.0;97.4;12.64
153.0;97.6;12.71
154.0;97.0;12.78
155.0;97.6;12.85
156.0;98.4;12.92
157.0;96.8;12.99
158.0;96.6;13.06
159.0;97.2;13.13
160.0;96.2;13.2
161.0;97.2;13.27
162.0;96.2;13.34
163.0;96.0;13.41
164.0;97.4;13.48
165.0;97.6;13.55
166.0;97.6;13.62
167.0;97.6;13.69
168.0;96.0;13.76
169.0;96.4;13.83
170.0;97.8;13.9
171.0;97.2;13.97
172.0;97.6;14.04
173.0;97.2;14.11
174.0;97.4;14.18
175.0;96.4;14.25
176.0;94.4;14.32
177.0;94.2;14.39
178.0;94.6;14.46
179.0;95.8;14.53
180.0;96.6;14.6
181.0;96.4;14.67
182.0;96.6;14.74
183.0;95.2;14.81
184.0;96.4;14.88
185.0;97.4;14.95
186.0;98.0;15.02
187.0;97.8;15.09
188.0;97.8;15.16
189.0;97.8;15.23
190.0;97.4;15.3
191.0;97.2;15.37
192.0;97.6;15.44
193.0;98.6;15.51
194.0;97.6;15.58
195.0;96.8;15.65
196.0;96.0;15.72
197.0;97.2;15.79
198.0;97.6;15.86
199.0;97.6;15.93
200.0;97.2;16.0
201.0;95.6;16.07
202.0;95.8;16.14
203.0;95.6;16.21
204.0;96.6;16.28
205.0;96.6;16.35
206.0;98.2;16.42
207.0;97.4;16.49
208.0;97.2;16.56
209.0;96.8;16.63
210.0;96.4;16.7
211.0;96.8;16.77
212.0;96.4;16.84
213.0;96.4;16.91
214.0;97.0;16.98
215.0;97.6;17.05
216.0;97.4;17.12
217.0;97.6;17.19
218.0;98.2;17.26
219.0;97.4;17.33
220.0;97.8;17.4
221.0;97.0;17.47
222.0;96.6;17.54
223.0;95.0;17.61
224.0;95.4;17.68
225.0;97.2;17.75
226.0;97.8;17.82
227.0;96.8;17.89
228.0;95.8;17.96
229.0;95.8;18.03
230.0;96.2;18.1
231.0;95.0;18.17
232.0;96.4;18.24
233.0;97.8;18.31
234.0;97.8;18.38
235.0;96.8;18.45
236.0;97.0;18.52
237.0;97.2;18.59
238.0;97.0;18.66
239.0;96.8;18.73
240.0;96.8;18.8
241.0;96.8;18.87
242.0;96.0;18.94
243.0;95.8;19.01
244.0;96.2;19.08
245.0;96.0;19.15
246.0;96.8;19.22
247.0;97.0;19.29
248.0;96.0;19.36
249.0;97.6;19.43
250.0;96.8;19.5
251.0;96.6;19.57
252.0;96.8;19.64
253.0;96.8;19.71
254.0;96.8;19.78
255.0;97.2;19.85
256.0;96.8;19.92
257.0;96.2;19.99
258.0;94.6;20.06
259.0;96.8;20.13
260.0;96.2;20.2
261.0;96.6;20.27
262.0;96.8;20.34
263.0;97.6;20.41
264.0;97.8;20.48
265.0;96.2;20.55
266.0;96.2;20.62
267.0;97.2;20.69
268.0;97.8;20.76
269.0;98.2;20.83
270.0;97.4;20.9
271.0;97.4;20.97
272.0;97.6;21.04
273.0;97.6;21.11
274.0;97.0;21.18
275.0;97.4;21.25
276.0;96.8;21.32
277.0;96.6;21.39
278.0;97.0;21.46
279.0;97.2;21.53
280.0;97.4;21.6
281.0;96.2;21.67
282.0;96.8;21.74
283.0;98.4;21.81
284.0;96.6;21.88
285.0;95.2;21.95
286.0;96.0;22.02
287.0;96.0;22.09
288.0;95.8;22.16
289.0;96.2;22.23
290.0;95.4;22.3
291.0;96.6;22.37
292.0;96.6;22.44
293.0;95.8;22.51
294.0;94.8;22.58
295.0;97.6;22.65
296.0;97.2;22.72
297.0;97.0;22.79
298.0;97.4;22.86
299.0;97.2;22.93
300.0;97.0;23.0
